Source: www.abc.org.uk/data Detailed Data Exported: 08/11/2022 12:15:44 
Copyright & Database right – all rights reserved. see www.abc.org.uk/copyright for details
"PERIOD","START DATE","END DATE","TITLE","REGISTRATION STATUS","OWNER","MARKET SECTOR","ISSUES","COVER PRICE","REGION","PLATFORM","CATEGORY/RATE","AVG. PER ISSUE"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Print","Paid Single Copies - Full Rate","23678"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Print","Paid Single Copies - Full Rate","3882"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Print","Paid Single Copies - 20-99%","6367"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Digital","Paid Single Copies - 20-99%","28"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Print","Paid Single Copies - 20-99%","1160"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Digital","Paid Single Copies - 20-99%","120"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Print","Paid Subscriptions - 20-99%","16640"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Digital","Paid Subscriptions - 20-99%","31"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Print","Paid Subscriptions - 20-99%","234"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Digital","Paid Subscriptions - 20-99%","139"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Digital","Paid Subscriptions - All You Can Read","6336"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Digital","Paid Subscriptions - All You Can Read","6176"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Print","Paid Subscriptions - Below 20%","189"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","Other Countries","Print","Paid Subscriptions - Below 20%","5"
"Jan - Dec 2021","2021-01-01","2021-12-31","25 Beautiful Homes","Registered","Future Publishing Ltd","Women's Interests: Home interests","12","£4.80","UK / ROI","Print","Paid Subscriptions - Full Rate","21"
