"","publication","publisher","date"
"1","100 Days of Christmas","DC Thomson Group",2022-11-07
"2","110% Gaming","DC Thomson Group",2022-11-07
"3","110gaming.com","DC Thomson Group",2022-11-07
"4","220 Triathlon","Immediate Media Company Limited",2022-11-07
"5","220triathlon.com","Immediate Media Company Limited",2022-11-07
"6","25 Beautiful Homes","Future PLC",2022-11-07
"7","3D World","Future PLC",2022-11-07
"8","5Gradar.com","Future PLC",2022-11-07
"9","Aberdeenlive.news","Reach PLC",2022-11-07
"10","Abergavenny Chronicle","Tindle Newspapers Limited",2022-11-07
"11","abergavennychronicle.com","Tindle Newspapers Limited",2022-11-07
"12","Accrington Observer","Reach PLC",2022-11-07
"13","Active","Future PLC",2022-11-07
"14","Activity Series","Immediate Media Company Limited",2022-11-07
"15","Advertiser and Review","National World Publishing Ltd",2022-11-07
"16","advertiserandtimes.co.uk","Iliffe Media Group Ltd",2022-11-07
"17","Advnture.com","Future PLC",2022-11-07
"18","Airdrie & Coatbridge Advertiser","Reach PLC",2022-11-07
"19","Airgun Shooter","Future PLC",2022-11-07
"20","airgunmagazine.co.uk","Future PLC",2022-11-07
"21","All About History","Future PLC",2022-11-07
"22","All About Space","Future PLC",2022-11-07
"23","Alloa & Hillfoots Advertiser","Newsquest Media Group",2022-11-07
"24","alloaadvertiser.com","Newsquest Media Group",2022-11-07
"25","Alsager Chronicle","Congleton Ltd",2022-11-07
"26","alsager.nub.news","Nub News Ltd",2022-11-07
"27","Alton Herald","Tindle Newspapers Limited",2022-11-07
"28","altonherald.com","Tindle Newspapers Limited",2022-11-07
"29","Amazing India","Future PLC",2022-11-07
"30","American Whiskey","Paragraph Publishing Ltd",2022-11-07
"31","americanwhiskeymag.com","Paragraph Publishing Ltd",2022-11-07
"32","am-online.com","Bauer Consumer Media Limited",2022-11-07
"33","Andover Advertiser","Newsquest Media Group",2022-11-07
"34","Andover Midweek Advertiser","Newsquest Media Group",2022-11-07
"35","andoveradvertiser.co.uk","Newsquest Media Group",2022-11-07
"36","Angling Times","H. Bauer Publishing",2022-11-07
"37","anglingtimes.co.uk","H. Bauer Publishing",2022-11-07
"38","Animal Planet","DC Thomson Group",2022-11-07
"39","animalplanetmagazine.com","DC Thomson Group",2022-11-07
"40","Animals & You","DC Thomson Group",2022-11-07
"41","animalsandyou.co.uk","DC Thomson Group",2022-11-07
